"Program Name","Institution Name",District,"Accredited Date","Expiry Date",Status
"Doctor of Philosophy in Theology","Uganda Christian University",Mukono,30/Mar/2016,30/Mar/2026,Active
"Doctor of Philosophy in Education Administration and Management","Uganda Christian University",Mukono,30/Mar/2016,30/Mar/2026,Active
"PhD in Business Management","Ndejje University",Luwero,19/Dec/2016,19/Dec/2026,Active
"PhD in  Development Studies","Nkumba University",Wakiso,28/May/2018,28/May/2028,Active
"PhD in Art and Design","Nkumba University",Wakiso,28/May/2018,28/May/2028,Active
"PhD in Natural Resources Management","Nkumba University",Wakiso,28/May/2018,28/May/2028,Active
"PhD in Public Administration","Nkumba University",Wakiso,28/May/2018,28/May/2028,Active
"PhD in Psychology","Nkumba University",Wakiso,28/May/2018,28/May/2028,Active
"PhD in Business Administration","Nkumba University",Wakiso,28/May/2018,28/May/2028,Active
"PhD in History","Islamic University in Uganda",Mbale,27/Aug/2018,27/Aug/2028,Active
"PhD in Education","Islamic University in Uganda",Mbale,27/Aug/2018,27/Aug/2028,Active
"PhD in Education","Nkumba University",Wakiso,27/Aug/2018,27/Aug/2028,Active
"Doctor of Philosophy in Bioinformatics","Makerere University",Kampala,30/Nov/2018,30/Nov/2028,Active
"PhD in Sharia","Islamic University in Uganda",Mbale,30/Nov/2018,30/Nov/2028,Active
"PhD in Arabic","Islamic University in Uganda",Mbale,30/Nov/2018,30/Nov/2028,Active
"PhD in Islamic Studies","Islamic University in Uganda",Mbale,30/Nov/2018,30/Nov/2028,Active
"Doctor of Philosophy in Public Policy and Governance","Kyambogo University",Kampala,07/Jun/2019,07/Jun/2029,Active
"PhD in Conflict Resolution and Peace Building","Kampala International University",Kampala,23/Aug/2019,23/Aug/2029,Active
"PhD in Environmental Science","Kampala International University",Kampala,23/Aug/2019,23/Aug/2029,Active
"PhD in Renewable Energy","Kampala International University",Kampala,23/Aug/2019,23/Aug/2029,Active
"PhD in Development Studies","Kampala International University",Kampala,23/Aug/2019,23/Aug/2029,Active
"PhD in Counselling Psychology","Kampala International University",Kampala,23/Aug/2019,23/Aug/2029,Active
"PhD in Information Systems","Makerere University",Kampala,23/Aug/2019,23/Aug/2029,Active
"PhD in Business Administration","Uganda Martyrs University",Mpigi,23/Aug/2019,23/Aug/2029,Active
"PhD in Business Administration","Mbarara University of Science and Technology",Mbarara,13/Dec/2019,13/Dec/2029,Active
"PhD in Computing (by Research)","Mbarara University of Science and Technology",Mbarara,13/Dec/2019,13/Dec/2029,Active
"PhD in Law (By Research)","Kampala International University",Kampala,13/Dec/2019,13/Dec/2029,Active
"PhD in Design and Visual Culture","Kyambogo University",Kampala,13/Dec/2019,13/Dec/2029,Active
"PhD in Microbiology (By Research)","Kampala International University",Kampala,13/Dec/2019,13/Dec/2029,Active
"PhD in Biochemistry (by Research)","Kampala International University",Kampala,13/Dec/2019,13/Dec/2029,Active
"PhD in Medical Physiology (By Research )","Kampala International University",Kampala,13/Dec/2019,13/Dec/2029,Active
"PhD in Pharmacology (By Research)","Kampala International University",Kampala,13/Dec/2019,13/Dec/2029,Active
"PhD in Anatomy (By Research)","Kampala International University",Kampala,13/Dec/2019,13/Dec/2029,Active
"PhD in Environmental Science (By Research)","Kampala International University",Kampala,13/Dec/2019,13/Dec/2029,Active
"PhD in Renewable Energy (By Research)","Kampala International University",Kampala,13/Dec/2019,13/Dec/2029,Active
